timestamp,cpu_percent,ram_percent,ram_mb,fps_real,frames_no_buffer
2026-08-15 11:41:45,0.0,0.62,95.7,3.0,3
2026-08-15 11:41:46,5.0,0.79,122.2,22.0,25
2026-08-15 11:41:47,4.8,0.9,140.5,25.0,50
2026-08-15 11:41:48,2.7,0.99,154.3,16.0,66
2026-08-15 11:41:49,4.8,1.15,178.9,28.0,94
2026-08-15 11:41:50,4.4,1.31,204.0,29.0,123
2026-08-15 11:41:51,2.3,1.47,229.4,29.0,152
2026-08-15 11:41:52,3.4,1.65,256.7,31.0,183
2026-08-15 11:41:53,3.6,1.82,283.1,30.0,213
2026-08-15 11:41:54,7.4,1.98,308.6,29.0,242
2026-08-15 11:41:55,7.0,2.16,335.8,31.0,273
2026-08-15 11:41:56,4.3,2.33,362.2,30.0,303
2026-08-15 11:41:57,5.9,2.5,389.5,30.0,334
2026-08-15 11:41:58,5.1,2.67,415.9,31.0,364
2026-08-15 11:41:59,6.1,2.84,441.4,29.0,393
2026-08-15 11:42:00,5.1,3.0,466.0,28.0,421
2026-08-15 11:42:01,3.0,3.17,492.5,30.0,451
2026-08-15 11:42:02,3.9,3.34,518.9,30.0,481
2026-08-15 11:42:03,2.7,3.5,544.4,29.0,510
2026-08-15 11:42:04,2.9,3.67,571.6,31.0,541
2026-08-15 11:42:05,6.4,3.84,598.0,30.0,571
2026-08-15 11:42:06,13.4,4.06,631.2,30.0,601
2026-08-15 11:42:07,2.5,4.19,652.5,29.0,630
2026-08-15 11:42:08,4.0,4.38,680.6,32.0,662
2026-08-15 11:42:09,7.1,4.54,706.1,29.0,691
2026-08-15 11:42:10,9.0,4.7,731.6,29.0,720
2026-08-15 11:42:11,2.1,4.88,759.8,32.0,752
2026-08-15 11:42:12,4.2,5.05,785.3,29.0,781
2026-08-15 11:42:13,6.9,5.22,811.7,30.0,811
2026-08-15 11:42:14,3.9,5.39,838.9,31.0,842
2026-08-15 11:42:15,5.2,5.56,864.4,29.0,871
2026-08-15 11:42:16,7.0,5.69,884.7,23.0,894
2026-08-15 11:42:17,8.2,5.73,890.8,12.0,900
2026-08-15 11:42:18,13.4,5.73,890.8,13.0,900
2026-08-15 11:42:19,24.8,5.73,890.8,13.0,900
2026-08-15 11:42:20,9.3,5.73,890.8,13.0,900
2026-08-15 11:42:21,5.3,5.73,890.8,12.0,900
2026-08-15 11:42:22,4.3,5.73,890.8,13.0,900
2026-08-15 11:42:23,5.3,5.73,890.8,12.0,900
2026-08-15 11:42:24,5.1,5.73,890.9,11.0,900
